,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10981,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19679975.0,19679975.0,False,,1,,,,2024-04-11T22:57:00.000Z,70277.17986720019,30501899456.76581,-20.2161,0.1134384,-0.55055475,3.50215414,-1.25332031,46.00435747,65.59568203,1383053142857.003,52.9566,1475820777211.2,,2024-04-11T22:57:00.000Z,,,,,,2024-04-11 18:58:32.659180
1,1027,Ethereum,ETH,ethereum,8765,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120070549.32768515,120070549.32768515,True,,2,,,,2024-04-11T22:56:00.000Z,3508.538525414262,14236750939.228426,-16.285,0.20444908,-0.96660872,5.95265087,-11.23651495,40.16412825,40.31790038,421272148083.83685,16.1359,421272148083.84,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
2,825,Tether USDt,USDT,tether,82310,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,107267504623.65915,110941048614.45586,True,,3,,,,2024-04-11T22:56:00.000Z,1.00023760234557,58113432497.916626,-15.5893,0.00908862,0.02453674,0.00044712,0.01351161,-0.00647917,0.02472763,107292991634.36116,4.1096,110967408467.83,,2024-04-11T22:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-11 18:58:32.659180
3,1839,BNB,BNB,bnb,2140,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149534288.61199397,149534288.61199397,False,,4,,,,2024-04-11T22:56:00.000Z,606.1806681142152,1314041681.6391878,-19.894,0.29174437,-0.36185229,4.19637571,12.85374027,88.79438017,105.41322143,90644794976.80238,3.4741,90644794976.8,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
4,5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,445847311.2984832,573648295.2609252,True,,5,,,,2024-04-11T22:56:00.000Z,172.88022859923657,2740840450.307366,-18.191,0.15733494,-0.61248699,-5.21652271,16.49228954,60.8032779,91.48701555,77078185097.63676,2.9513,99172448420.27,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
5,52,XRP,XRP,xrp,1295,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55051549471.0,99987715632.0,False,,6,,,,2024-04-11T22:57:00.000Z,0.6087595863615936,1227228930.519352,-47.6594,-0.30176174,-1.42411415,3.29972526,-11.26742416,15.9573423,7.39587279,33513158484.530766,1.2844,60875958636.16,,2024-04-11T22:57:00.000Z,,,,,,2024-04-11 18:58:32.659180
6,3408,USDC,USDC,usd-coin,18108,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32210093443.543797,32210093443.543797,False,,7,,,,2024-04-11T22:56:00.000Z,0.9999921822626524,7250812229.3120985,-4.3378,-0.0026529,-0.0018124,0.00028529,0.00629452,0.00036027,-0.05520768,32209841633.493313,1.2336,32209841633.49,,2024-04-11T22:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-11 18:58:32.659180
7,74,Dogecoin,DOGE,dogecoin,949,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143846906383.70526,143846906383.70526,True,,8,,,,2024-04-11T22:57:00.000Z,0.19516000440530412,2197632756.683301,-17.7199,0.27217873,-2.24604919,9.74311171,17.6086968,140.27500066,146.2178839,28073162883.533287,1.0749,28073162883.53,,2024-04-11T22:57:00.000Z,,,,,,2024-04-11 18:58:32.659180
8,11419,Toncoin,TON,toncoin,271,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470721158.2364044,5105155648.745069,True,,9,3414166606.0,24844990528.73549,,2024-04-11T22:56:00.000Z,7.277029329814577,748074831.1966757,41.2226,1.271078,7.77068504,43.61985384,87.36520111,247.94524462,243.65011478,25256539664.094334,0.9674,37150367389.19,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
9,2010,Cardano,ADA,cardano,1133,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35606381764.009,36785005676.862,False,,10,,,,2024-04-11T22:56:00.000Z,0.5854400460377734,343921403.05261064,-32.1788,-0.09196883,-0.22993048,1.24471605,-21.14147448,8.45621695,7.81332369,20845401779.159966,0.7984,26344802071.7,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
